TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
109,'10973j.JPG',OTKA,OLD,M,10973j.JPG,6.353074,20.24204,9.011366,19.071416,9.93811,19.400654,9.7552,20.205458,11.779404,20.388368,14.498666,22.034558,14.498666,21.632156,17.120376,22.058946,18.425134,21.863842,17.388644,20.949292,17.19354,18.425134,13.084162,18.339776,7.401758,18.35197,7.121296,19.961578,8.279726,19.486012,9.413768,19.75428,11.291644,19.668922,12.547626,20.400562,13.559728,21.388276,16.681392,20.351786,16.169244,19.290908,16.620422,18.632432,4.036214,22.180886,5.85312,20.60786
232,'122266j.JPG',WAMN,OLD,M,122266j.JPG,28.554758,14.823306,30.849502,14.15709,31.867332,14.397668,31.478706,15.17492,33.717932,15.26745,36.530844,17.266098,36.327278,16.784942,38.547998,17.099544,39.7879,16.599882,39.066166,16.00769,38.566504,13.083742,34.735762,13.213284,29.42454,13.287308,29.572588,14.52721,30.664442,14.416174,31.349164,14.860318,33.236776,15.008366,34.60622,15.7301,35.62405,16.710918,38.30742,15.322968,37.826264,14.416174,38.02983,13.546392,25.778858,17.136556,27.555434,15.656076
231,'122278j.JPG',WAMN,OLD,,122278j.JPG,26.566695,15.404535,29.11212,14.25438,29.82861,14.763465,29.52693,15.64965,31.883805,15.819345,34.598925,17.780265,34.372665,17.139195,37.44603,17.629425,38.709315,17.327745,37.89855,16.535835,37.728855,13.68873,33.41106,13.46247,27.56601,13.820715,27.11349,15.366825,28.16937,14.838885,29.33838,15.102855,31.41243,15.27255,32.65686,15.781635,33.71274,17.15805,37.163205,15.80049,36.597555,14.725755,36.84267,13.91499,24.190965,17.327745,25.83135,16.06446
230,'122279j.JPG',WAMN,OLD,F,122279j.JPG,27.67914,15.102855,30.28113,14.273235,31.091895,14.7069,30.58281,15.479955,32.61915,15.630795,35.843355,18.17622,35.37198,17.3466,37.59687,17.817975,39.010995,17.04492,37.67229,16.29072,38.030535,13.83957,33.97671,13.519035,28.565325,13.5756,28.58418,14.801175,29.52693,14.650335,30.31884,15.027435,32.46831,14.93316,33.731595,16.06446,34.54236,17.15805,37.18206,15.404535,37.050075,14.51835,37.63458,13.91499,25.2657,17.591715,26.679825,16.02675
191,'132556j.JPG',MAKA,OLD,,132556j.JPG,29.076012,11.011266,31.74066,10.031616,32.426415,10.325511,32.32845,11.344347,34.562052,11.520684,37.99942822,13.45172029,37.65359393,12.7556411,40.537917,13.656321,41.576346,13.048938,40.655475,12.382776,40.244022,9.816093,35.835597,9.385047,29.702988,9.483012,29.742174,10.717371,30.819789,10.462662,32.054148,10.913301,33.778332,10.678185,35.502516,11.638242,36.76113675,12.76858937,39.793383,11.657835,39.362337,10.521441,39.675825,9.874872,26.352585,12.93138,28.253106,11.579463
192,'132557j.JPG',MAKA,OLD,,132557j.JPG,29.047816,11.235476,31.768602,9.98274,32.59071,10.041462,32.316674,11.118032,34.567684,11.15718,37.229748,12.801396,37.053582,12.194602,39.578628,12.644804,40.90966,12.33162,40.244144,11.724826,40.23541997,9.420325789,35.663828,9.19978,29.94822,9.434668,30.006942,10.589534,31.005216,10.295924,32.19923,10.66783,34.215352,10.452516,35.605106,11.333346,36.368492,12.23375,39.53948,11.118032,39.17344659,10.25091137,39.598202,9.610834,26.933824,13.055858,28.48017,11.64653
117,'13465j.JPG',EMND,OLD,M,13465j.JPG,10.135245,20.455665,12.93756,19.566825,13.888125,19.764345,13.295565,20.69022,15.57939,21.072915,18.282945,22.69011,18.19653,22.221,21.08526,22.751835,22.332105,22.011135,21.221055,21.43092,21.196365,18.998955,16.801545,18.83847,11.15988,18.69033,10.974705,20.27049,12.332655,19.87545,13.13508,20.233455,15.369525,20.406285,16.702785,21.369195,17.665695,22.31976,20.505045,20.91243,19.94952,19.813725,20.34456,19.18413,7.60452,22.98639,9.40689,21.196365
122,'13468j.JPG',EMND,OLD,M,13468j.JPG,9.85281,20.38014,12.7677,19.235865,13.53858,19.573125,13.141095,20.368095,15.453735,20.560815,18.778155,22.704825,18.40476,21.97008,20.970345,22.560285,22.271205,22.198935,21.51237,21.46419,21.138975,18.561345,16.52574,18.35658,11.045265,18.392715,10.563465,20.175375,11.82819,19.597215,12.948375,19.92243,14.74308,19.717665,16.176435,20.657175,17.5857,21.933945,20.633085,20.59695,20.175375,19.68153,20.4765,18.729975,7.190865,22.849365,8.901255,21.07875
123,'13469j.JPG',EMND,OLD,M,13469j.JPG,8.130375,20.54877,10.948905,19.07928,11.695695,19.29609,11.46684,20.488545,13.7313,20.608995,16.38145924,22.01872941,16.20045418,21.3948988,19.07928,22.28325,20.247645,21.9219,19.476765,21.138975,19.428585,18.513165,14.9358,18.199995,9.069885,18.47703,8.93739,20.151285,10.105755,19.765845,11.15367,20.006745,12.88815,19.70562,14.779215,20.777625,15.34533,21.48828,18.74202,20.38014,18.513165,19.32018,19.10337,18.66975,5.68524,22.367565,7.552215,20.88603
124,'13471j.JPG',EMND,OLD,M,13471j.JPG,-17.576406,21.435876,-14.74191,19.942704,-13.995324,20.170476,-14.261058,21.271374,-11.995992,21.00564,-8.845146,22.941702,-8.781876,22.422888,-6.099228,22.536774,-4.985676,22.005306,-5.75757,21.296682,-6.39027,18.576072,-10.933056,18.626688,-16.51347,19.17081,-16.70328,20.841138,-15.526458,20.360286,-14.5521,20.75256,-12.869118,20.43621,-11.13552,21.25872,-9.984006,22.106538,-6.478848,20.992986,-7.27605,20.2464,-7.326666,19.132848,-19.765548,24.017292,-18.03195,21.815496
