TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
29,'10973s.JPG',OTKA,OLD,M,10973s.JPG,4.93857,19.729892,3.743558,20.961486,9.011366,23.314928,14.852292,20.010354,14.08407,19.559176,11.047764,20.095712,10.9746,21.437052,8.913814,21.120008,5.194644,20.046936,6.694506,20.376174,8.267532,20.400562,9.718618,20.376174,14.08407,20.24204,12.425686,20.754188,11.547718,21.09562,17.791046,21.558992,5.011734,17.766658,5.133674,19.08361
30,'122266s.JPG',WAMN,OLD,M,122266s.JPG,22.452272,14.222068,21.763552,15.633944,26.51572,16.890858,31.612248,13.791618,31.147362,13.275078,28.082558,14.084324,28.082558,15.427328,26.188578,15.41011,22.81385,14.600864,24.311816,14.824698,25.65482,14.773044,27.015042,14.566428,30.716912,13.963798,29.632178,14.46312,28.685188,15.014096,33.885024,14.54921,22.572798,12.069818,22.607234,13.60222
31,'122278s.JPG',WAMN,OLD,,122278s.JPG,21.985128,15.156414,21.059828,16.599882,26.426568,18.635542,31.959862,15.26745,31.349164,14.693764,28.073602,15.396992,28.055096,16.858966,25.963918,16.673906,22.373754,15.674582,24.279872,15.859642,25.834376,15.896654,27.407386,15.748606,30.942032,15.378486,29.720636,15.82263,28.554758,16.451834,34.014028,16.248268,22.003634,13.120754,22.059152,14.564222
32,'122279s.JPG',WAMN,OLD,F,122279s.JPG,23.738445,15.53652,22.85226,16.66782,28.16937,18.572175,33.5619,15.404535,32.69457,14.952015,29.82861,15.57423,29.60235,17.176905,27.79227,16.799805,24.17211,15.819345,25.34112,15.970185,27.094635,15.970185,28.62189,15.98904,32.864265,15.517665,31.732965,15.894765,30.299985,16.573545,35.71137,16.63011,24.002415,13.443615,24.02127,14.688045
33,'132556s.JPG',MAKA,OLD,,132556s.JPG,25.189088,11.32741,23.80676,12.556146,30.065634,14.188061,35.863732,10.809037,34.846185,10.425057,31.620753,11.231415,31.543957,12.67134,29.528062,12.421753,25.592267,11.845783,26.936197,12.133768,28.587311,12.037773,30.027236,11.807385,34.519802,11.154619,33.463857,11.500201,32.158325,12.133768,38.378801,11.692191,25.457874,9.081127,25.323481,10.521052
311,'132557s.JPG',MAKA,OLD,,132557s.JPG,28.76244,11.57016,27.2958,12.34422,32.71422,15.56268,38.47893,12.58866,38.25486,11.57016,34.58826,12.12015,34.48641,13.66827,32.44941,13.50531,29.02725,12.4257,30.29019,12.71088,32.14386,12.91458,33.32532,12.69051,37.62339,12.38496,36.38082,12.71088,35.30121,13.09791,40.5363,13.34235,29.3328,9.51279,28.94577,10.7961
34,'13465s.JPG',EMND,OLD,M,13465s.JPG,6.174543,19.725226,5.091916,20.891132,10.433669,23.175356,15.751628,19.701432,15.025911,19.130376,11.789927,19.820402,11.766133,21.378909,9.838819,21.140969,6.698011,20.213003,8.399282,20.403355,10.029171,20.213003,11.028519,20.022651,14.680898,19.784711,13.241361,20.248694,12.182528,20.914926,18.107234,21.010102,6.245925,17.429105,6.198337,19.118479
252,'13468s.JPG',EMND,OLD,M,13468s.JPG,3.92274,21.296682,2.72061,22.448196,8.566758,24.814494,14.969682,21.081564,14.134518,20.56275,10.43955,21.486492,10.275048,23.232744,8.452872,22.865778,4.289706,21.57507,5.415912,21.866112,7.870788,21.992652,9.186804,21.777534,13.881438,21.347298,12.628692,21.777534,11.363292,22.410234,17.500482,22.954356,4.264398,18.500148,4.036626,20.43621
253,'13469s.JPG',EMND,OLD,M,13469s.JPG,5.510163,19.410531,4.236756,20.445918,9.389889,22.96893,15.411795,19.75566,14.745339,19.196313,11.413059,19.791363,11.377356,21.267087,9.28278,21.06477,5.914797,19.946076,7.49763,20.219799,9.16377,20.2317,10.532385,20.11269,14.554923,19.934175,13.32912,20.35071,12.25803,20.779146,17.553975,21.278988,5.676777,17.363559,5.700579,18.970194
254,'13474s.JPG',EMND,OLD,M,13474s.JPG,4.545751,20.157298,3.509856,21.44912,9.639917,23.947455,14.941262,19.231086,14.331912,18.999533,11.175479,19.974493,11.285162,21.583177,9.042754,21.485681,4.935735,20.83977,6.849094,20.986014,8.65277,20.791022,10.310202,20.254794,13.698188,19.730753,12.576984,20.413225,11.918886,21.034762,18.292687,21.181006,4.545751,17.719898,4.728556,19.365143
255,'13475s.JPG',EMND,OLD,M,13475s.JPG,5.447589,19.828249,4.375133,20.888518,9.676478,23.740276,15.136254,20.388851,14.38066,19.718566,11.175479,20.388851,11.224227,21.741608,9.432738,21.388185,5.666955,20.218233,7.226891,20.888518,8.799014,20.912892,9.956779,20.815396,14.075985,20.364477,12.966968,20.632591,12.016382,21.08351,17.939264,21.534429,5.557272,17.866142,5.654768,19.170151
35,'137111s.JPG',EMND,OLD,F,137111s.JPG,26.165982,10.83185,24.847322,11.792588,30.04661,14.618288,35.773362,11.265124,35.189384,10.813012,32.062276,11.359314,31.723192,12.866354,29.782878,12.43308,26.335524,11.246286,27.936754,11.58537,29.745202,11.77375,31.026186,11.698398,34.586568,11.472342,33.418612,11.886778,32.49555,12.320052,38.015084,12.640298,26.335524,8.929212,26.222496,10.210196
36,'137113s.JPG',MAKA,OLD,F,137113s.JPG,24.29812,10.52667,23.0153,11.677435,28.25977,14.14875,33.787215,11.28127,33.372185,10.67759,30.051945,11.149215,30.03308,12.71501,27.901335,12.281115,24.59996,10.9417,25.977105,11.300135,27.73155,11.54538,28.920045,11.488785,32.93829,11.43219,31.65547,11.6963,30.67449,12.18679,36.18307,12.18679,24.33585,8.82882,24.48677,10.03618
37,'145880s.JPG',MAKA,OLD,M,145880s.JPG,24.446426,10.474396,23.188018,11.510732,28.12912,13.620416,33.791956,10.937046,33.144246,10.196806,30.090756,10.73348,29.868684,12.158442,28.018084,11.880852,24.61298,10.844516,25.53828,11.1036,26.889218,11.19613,28.277168,11.140612,32.681596,11.01107,31.55273,11.19613,30.44237,11.714298,35.772098,11.880852,24.724016,8.457242,24.501944,9.974734
38,'145881s.JPG',MAKA,OLD,F,145881s.JPG,26.634672,11.777644,25.374924,12.9974,30.713856,15.416916,36.732652,11.9976,36.012796,11.4977,32.773444,12.077584,32.353528,13.437312,30.413916,13.277344,26.974604,12.237552,28.19436,12.557488,29.534092,12.637472,31.033792,12.537492,35.252948,12.337532,34.113176,12.517496,33.013396,12.937412,39.29214,13.117376,27.054588,9.458108,26.79464,11.157768
39,'15214s.JPG',NILL,OLD,F,15214s.JPG,5.089998,18.442527,4.148697,19.52328,9.261937,20.929421,13.887095,17.594194,13.399013,17.117733,10.400795,18.000929,10.331069,19.465175,8.48333,19.314102,5.334039,18.733052,6.252098,18.953851,7.66986,18.977093,9.622188,18.535495,13.01552,17.838235,12.260155,18.233349,10.900498,18.884125,15.8458882,18.24508602,4.985409,16.710998,5.136482,17.756888
256,'15215s.JPG',NILL,OLD,M,15215s.JPG,4.838528,18.532032,3.899008,19.31888,7.962432,21.444544,12.190272,19.471552,12.495616,18.90784,9.230784,19.048768,9.27776,20.281888,7.563136,19.800384,4.93248,19.001792,5.895488,19.330624,7.093376,19.342368,8.10336,19.271904,11.68528,19.55376,10.769248,19.78864,9.9824,20.02352,14.550816,19.941312,5.273056,17.052288,5.120384,17.980064
257,'15216s.JPG',NILL,OLD,F,15216s.JPG,4.368768,19.31888,3.276576,20.469792,8.373472,22.771616,13.552576,19.43632,12.9184,18.84912,9.947168,19.471552,9.888448,20.90432,7.915456,20.622464,4.838528,19.90608,6.1656,20.02352,7.351744,19.894336,8.596608,19.835616,12.68352,19.61248,11.661792,19.882592,10.675296,20.293632,15.689984,20.927808,4.46272,17.08752,4.52144,18.485056
258,'15218s.JPG',NILL,OLD,F,15218s.JPG,3.675872,19.048768,2.560192,20.14096,7.563136,22.478016,12.965376,19.565504,12.342944,19.001792,9.183808,19.565504,9.1016,20.951296,7.093376,20.598976,4.22784,19.624224,5.437472,19.90608,6.975936,20.000032,8.185568,19.882592,12.166784,19.647712,10.8632,19.894336,9.900192,20.43456,15.314176,20.704672,4.004704,17.017056,3.910752,18.355872
259,'15220s.JPG',NILL,OLD,M,15220s.JPG,4.05168,19.048768,2.936,20.31712,7.962432,22.43104,13.200256,19.330624,12.636544,18.813888,9.57136,19.283648,9.371712,20.927808,7.668832,20.411072,4.568416,19.6712,5.883744,19.84736,7.375232,19.929568,8.596608,19.694688,12.202016,19.330624,11.09808,19.659456,10.04112,20.234912,15.372896,20.340608,4.415744,17.111008,4.321792,18.355872
260,'15221s.JPG',NILL,OLD,M,15221s.JPG,6.528918,20.068092,5.418138,21.326976,10.700514,23.474484,16.242072,19.56207,15.884154,18.846234,12.687576,19.636122,12.440736,21.561474,10.42899,21.326976,6.960888,20.746902,8.343192,20.771586,9.885942,20.598798,11.280588,20.30259,15.032556,19.722516,14.020512,20.11746,13.033152,20.956716,18.27945392,20.67999836,6.343788,17.83419,6.627654,19.265862
261,'15222s.JPG',NILL,OLD,M,15222s.JPG,4.282674,20.068092,3.221262,21.326976,8.590032,23.844744,14.143932,20.500062,13.650252,19.93233,10.391964,20.500062,10.280886,22.042812,8.14572,21.808314,4.887432,20.79627,6.380814,21.055452,7.800144,21.10482,9.2565,21.006084,13.279992,20.54943,12.267948,20.820954,11.23122,21.277608,16.488912,21.96876,4.480146,17.846532,4.455462,19.228836
262,'15223s.JPG',NILL,OLD,M,15223s.JPG,5.220666,20.105118,4.085202,21.376344,9.268842,23.783034,14.859768,20.450694,14.168616,20.006382,11.329956,20.413668,10.897986,22.067496,8.94795,21.672552,5.640294,20.771586,7.257096,20.993742,8.935608,21.018426,10.145124,20.845638,13.625568,20.722218,12.675234,20.956716,11.860662,21.549132,17.426904,21.72192,5.529216,17.932926,5.418138,19.426308
263,'15224s.JPG',NILL,OLD,M,15224s.JPG,4.406094,19.43865,3.344682,20.660508,7.676724,22.58586,12.71226,20.450694,12.416052,19.833594,9.207132,20.129802,9.31821,21.512106,7.368174,20.907348,4.776354,20.068092,6.183342,20.376642,7.355832,20.42601,8.39256,20.351958,11.712558,20.598798,10.638804,20.907348,9.93531,21.16653,15.032556,21.178872,4.9368,17.932926,4.75167,18.82155
40,'15226s.JPG',NILL,OLD,F,15226s.JPG,6.42294,20.46525,5.188728,21.636492,10.301892,23.67672,16.221072,20.490438,15.528402,20.074836,12.40509,20.817882,11.951706,22.48029,10.087794,21.875778,6.838542,20.994198,8.425386,21.334236,10.150764,21.34683,11.485728,21.132732,15.024642,20.7801,14.054904,21.057168,12.644376,21.812808,18.097578,21.47277,6.725196,18.374646,6.637038,19.785174
264,'15227s.JPG',NILL,OLD,M,15227s.JPG,6.567626,20.3313,5.434002,21.514212,10.572276,23.65824,15.624296,20.343622,15.365534,19.949318,12.297356,20.63935,12.038594,22.228888,10.214938,21.760652,6.998896,21.00901,8.231096,21.267772,9.229178,21.243128,11.003546,21.144552,14.884976,20.51613,13.702064,21.00901,12.913456,21.5635,18.039408,21.489568,6.678524,18.064052,6.752456,19.444116
41,'15228s.JPG',NILL,OLD,M,15228s.JPG,7.997661,19.294205,6.780361,20.182834,11.138295,22.410493,16.104879,20.158488,15.934457,19.622876,12.793823,19.817644,12.599055,21.047117,10.785278,20.596716,8.131564,19.951547,9.214961,20.268045,10.736586,20.268045,12.014751,20.158488,15.264942,20.316737,14.205891,20.535851,13.219878,20.840176,18.162116,20.974079,8.180256,17.760407,8.180256,18.722074
265,'15229s.JPG',NILL,OLD,M,15229s.JPG,7.319268,20.097182,6.050102,20.984366,11.21302,23.793782,16.44987,20.565418,16.08021,19.998606,12.901134,20.51613,12.654694,21.970126,10.72014,21.62511,7.849114,20.63935,9.290788,21.045976,10.769428,20.972044,12.149492,20.922756,15.58733,20.688638,14.490672,21.033654,13.504912,21.44028,18.655508,21.612788,7.688928,18.014764,7.602674,19.456438
42,'17453s.JPG',EMND,OLD,F,17453s.JPG,3.641151,19.383421,2.535587,20.452934,7.678863,22.940453,13.254751,20.080407,12.73802,19.515608,9.457379,20.116458,9.289141,21.51043,7.041962,20.981682,3.869474,19.888135,5.107225,20.296713,6.789605,20.525036,8.459968,20.320747,12.317425,20.284696,11.17581,20.717308,10.178399,21.077818,15.646134,21.222022,3.881491,17.436667,3.833423,18.686435
266,'17454s.JPG',EMND,OLD,F,17454s.JPG,5.752264,19.852623,4.777304,20.778835,9.786161,23.728089,15.733417,20.242607,14.916888,19.767314,11.492341,20.388851,11.272975,21.826917,9.225559,21.351624,6.081313,20.498534,7.629062,20.681339,9.128063,20.754461,10.322389,20.705713,14.916888,20.498534,13.308204,20.888518,12.052943,21.375998,17.79302,21.351624,6.032565,17.829581,5.959443,19.145777
267,'17455s.JPG',EMND,OLD,M,17455s.JPG,5.983817,19.340769,4.972296,20.608217,10.029901,23.130926,15.514051,20.364477,15.136254,19.803875,11.541089,20.291355,11.443593,21.668486,9.676478,21.181006,6.312866,20.169485,7.750932,20.547282,8.969632,20.547282,10.505194,20.547282,14.283164,20.632591,13.308204,20.912892,12.223561,21.229754,17.366475,21.497868,6.239744,17.707711,6.166622,18.804541
270,'17736s.JPG',WAMN,OLD,F,17736s.JPG,4.078613,19.346657,3.174897,20.33361,7.895624,22.759374,13.365484,19.584477,12.96119,19.085055,9.928985,19.62015,9.572255,21.106525,7.574567,20.916269,4.708836,19.85797,5.719571,20.131463,7.396202,20.179027,8.751776,20.09579,12.223948,19.822297,10.915938,20.238482,10.059786,20.714122,15.232371,21.070852,4.316433,17.420315,4.316433,18.752107
271,'17737s.JPG',WAMN,OLD,M,17737s.JPG,4.221305,19.132619,3.281916,20.155245,8.478283,22.045914,13.19901,19.14451,12.913626,18.514287,9.762511,19.132619,10.012222,20.33361,7.907515,20.226591,4.566144,19.632041,5.9455,19.703387,7.515112,19.584477,8.751776,19.370439,12.592569,19.275311,11.724526,19.536913,10.678118,19.917425,15.898267,19.762842,4.245087,17.372751,4.423452,18.490505
272,'17738s.JPG',WAMN,OLD,F,17738s.JPG,7.65513,19.089221,6.670899,20.29217,11.725715,21.580176,16.634719,18.882654,15.844904,18.360161,12.831456,19.064919,12.904362,20.280019,11.361185,19.939791,8.01966,19.56311,9.088948,19.648167,10.267595,19.611714,11.397638,19.417298,15.844904,19.259335,14.714861,19.575261,13.694177,19.988395,18.79655003,19.53594011,7.788791,17.558195,7.837395,18.603181
273,'17739s.JPG',WAMN,OLD,F,17739s.JPG,2.67322,19.186429,1.82265,20.04915,6.0755,21.276401,10.948051,19.429449,10.899447,18.676087,7.703734,18.943409,7.65513,20.207113,5.941839,20.085603,3.049901,19.599563,4.337907,19.708922,5.261383,19.696771,6.585842,19.453751,9.975971,19.56311,9.198307,19.708922,8.165472,19.951942,13.353949,19.939791,2.904089,17.594648,3.062052,18.457369
